BEIJING_HR	    北京3公里区域模式
120-90MB_ABOVE_GROUND   地面120-90百帕
150-120MB_ABOVE_GROUND  地面150-120百帕
180-150MB_ABOVE_GROUND  地面180-150百帕
1829M_ABOVE_MEAN_SEA_LEVEL 海平面1829米
2743M_ABOVE_MEAN_SEA_LEVEL 海平面2743米
2M_ABOVE_GROUND	        地面2米
2M_ABOVE_GROUND_UNCLIPPED    地面2米(未裁剪)
30-0MB_ABOVE_GROUND 地面30-0百帕
3000M_ABOVE_GROUND  地面3000M
305M_ABOVE_MEAN_SEA_LEVEL 海平面305米
3658M_ABOVE_MEAN_SEA_LEVEL 海平面3658米
4572M_ABOVE_MEAN_SEA_LEVEL 海平面4572米
457M_ABOVE_MEAN_SEA_LEVEL 海平面457米
60-30MB_ABOVE_GROUND 地面60-30百帕
6000M_ABOVE_GROUND  地面6000M
610M_ABOVE_MEAN_SEA_LEVEL 海平面610米
80M_ABOVE_GROUND    地面80米
90-60MB_ABOVE_GROUND 地面90-60百帕
914M_ABOVE_MEAN_SEA_LEVEL 海平面914米
ACPCP               对流性降水
ACPCP_UNCLIPPED     对流性降水(未裁剪)
AII		    探测仪大气稳定度指数
AIR_POLLUTION	    空气污染气象条件
ALBEDO		    反照率
AMV		    云导风
ANALYSIS	    客观分析
AOD		    气溶胶
AODASI		    气溶胶ASI
AODCMR		    气溶胶CMR
AODFMR		    气溶胶FMR
AOD_0		    气溶胶_0
AOD_1		    气溶胶_1
APCP                累计降水
APCP_LARGE_SCALE    大尺度降水
APCP_LARGE_SCALE_UNCLIPPED    大尺度降水(未裁剪)
APCP_UNCLIPPED	    累计降水(未裁剪)
APPARENT_TEMPERATURE 表面温度
ARCHIVES	    雷达基数据
ASNOW               累计降雪量
ASNOW_UNCLIPPED 累计降雪量(未裁剪)
ATMOS		    大气成分
AVERAGE		    集合平均
AVOR		    绝对涡度
AVP		    探测仪区域合成L2A数据
B03		    B03可见光通道
B08		    B08水汽通道
B13		    B13红外通道
BLI		    最有利抬升指数
BOUNDARY_LAYER_CLOUD 边界层云
CAPE                对流有效位能
CAPE_SHEAR	    对流有效位能切变
CATEGORICAL_FREEZING_RAIN 绝对冻雨
CATEGORICAL_ICE_PELLETS 绝对冰粒
CATEGORICAL_RAIN    绝对降水
CATEGORICAL_RAIN_UNCLIPPED  绝对降水(未裁剪)
CATEGORICAL_SNOW    绝对降雪
CATEGORICAL_SNOW_UNCLIPPED  绝对降雪(未裁剪)
CBH		    云底高度
CFR		    云覆盖
CH05		    水汽通道
CH06		    可见光通道
CH09		    红外通道
CICE                云冰量
CIN                 对流抑制能
CITY_FORECAST	    城市预报
CIX		    对流初生
CIX_RDC_RANK	    对流初生RDC_RANK
CLC		    云分类
CLEAR_SKY_UPWARD_LONG_WAVE	晴空向上长波辐射
CLEAR_SKY_UPWARD_SHORT_WAVE	晴空向上短波辐射
CLEAR_SKY_UV-B_DOWNWARD_SOLAR_FLUX  晴空UV-B太阳辐射通量
CLM		    云检测
CLOUD_COVER	    云量
CLOUD_MIXING_RATIO  云水混合比
CLOUD_WATER	    云态水
CLP		    云相态
CLT		    云类型
COMPOSITE_REFLECTIVITY   综合反射率
COMPREHENSIVE_MESSAGE_1  综合报1(全国高温、降温、大风、沙尘落区24小时预报)
COMPREHENSIVE_MESSAGE_2  综合报2(全国雾、霾落区24小时预报)
CONDENSATION_LAYER_PRESSURE  抬升凝结高度处气压
CONTROL		    控制预报
CONVECTIVE_CLOUD    对流云
CONVECTIVE_CLOUD_BOTTOM	对流云底
CONVECTIVE_CLOUD_TOP 对流云顶
